=== RESULTADOS DETALHADOS ===
Algoritmo,Grupo,Tamanho,Rodada,Tempo(ns),Tempo(ms),Trocas,Iteracoes
Selection Sort,A,1000,3632980,3,63,992,499500
Selection Sort,A,10000,31709320,31,71,9990,49995000
Selection Sort,A,100000,1991215040,1991,22,99987,704982704
Selection Sort,A,500000,60341432580,60341,43,499981,445698416
Selection Sort,A,1000000,188490941800,188490,94,999977,1783293664
Merge Sort,B,1000,216980,0,22,4321,9976
Merge Sort,B,10000,1189320,1,19,59135,133616
Merge Sort,B,100000,12128920,12,13,759870,1668928
Merge Sort,B,500000,57452040,57,45,4389564,9475712
Merge Sort,B,1000000,118028860,118,03,9279448,19951424
Shell Sort,B,1000,314740,0,31,8731,13743
Shell Sort,B,10000,1043640,1,04,166100,236992
Shell Sort,B,100000,9113760,9,11,2953263,3879084
Shell Sort,B,500000,57895680,57,90,21433545,26797933
Shell Sort,B,1000000,124068000,124,07,50674794,62069905
Gnome Sort,C,1000,1414020,1,41,255374,511740
Gnome Sort,C,10000,80855020,80,86,25089013,50188016
Gnome Sort,C,100000,8130937260,8130,94,2500587653,5001275295
Gnome Sort,C,500000,202214210280,202214,21,62476328911,124953157811
Gnome Sort,C,1000000,814812087800,814812,09,250021388916,500043777824
